step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,detached_warmup,0.2212509773671627,0.3535540997982025,2e-05,1e-06,0.0,0.0005815875338157639,0.026635789778083563,0.027102266438305378,0.0005815875338157639,0.026635789778083563,0.026876408141106367,0.0005815875338157639,0.026635789778083563,0.02692350186407566,0.0005815875338157639,0.026635789778083563,0.03147929301485419,0.0,711.0
2,detached_warmup,0.2558203302323818,0.6069538593292236,2e-05,1e-06,0.0,0.0005439988453872502,0.04344315780326724,0.01881789299659431,0.0005446609793580137,0.043441603891551495,0.019727306440472603,0.0005465057547553442,0.043440147303044796,0.02218927233479917,0.0005491845295182429,0.043438735883682966,0.019137859344482422,0.0007847559754736722,601.0
3,detached_warmup,0.19485964812338352,0.36594924330711365,2e-05,1e-06,0.0,0.0005624639161396772,0.02734256722033024,0.01906568044796586,0.0005633195178234018,0.027339630760252476,0.023706546751782298,0.000565656489925459,0.027336745290085673,0.020197095815092325,0.0005690484176739119,0.02733389101922512,0.020277006085962057,0.0006432299851439893,907.0
4,detached_warmup,0.20935440436005592,1.02382493019104,2e-05,1e-06,0.0,0.0005625026533380151,0.03020773595198989,0.023371498100459576,0.0005635600682580844,0.03021187800914049,0.020765409339219332,0.0005663336778525263,0.03021619003266096,0.020958150271326303,0.0005702889757230878,0.030220401007682085,0.021140454337000847,0.0006668550195172429,635.0
5,detached_warmup,0.1825668290257454,0.5849139094352722,2e-05,1e-06,0.0,0.0005504293512785807,0.024224843829870224,0.01906591863371432,0.000551640332560055,0.024223250336945057,0.022506667533889413,0.0005547182954614982,0.02422177279368043,0.021001651999540627,0.0005589976572082378,0.024220593506470323,0.02088634972460568,0.0008532310603186488,701.0
6,detached_warmup,0.19490592554211617,0.6191551685333252,2e-05,1e-06,0.0,0.0005258318851701915,0.026283050421625376,0.022315732203423977,0.0005270517503959127,0.026281147729605436,0.02296621212735772,0.0005297086318023503,0.02627937914803624,0.022748100105673075,0.0005332421060302295,0.026277711149305105,0.019638756290078163,0.0009851849172264338,563.0
7,detached_warmup,0.26109157875180244,0.9309441447257996,2e-05,1e-06,0.0,0.0007226247835205868,0.032123112585395575,0.028939935727976263,0.0007239428232423961,0.03211860451847315,0.03084264975041151,0.0007268337794812396,0.03211431880481541,0.03956492873840034,0.0007306076950044371,0.03211017674766481,0.030373842106200755,0.001682727481238544,789.0
8,detached_warmup,0.15428305976092815,0.832895815372467,2e-05,1e-06,0.0,0.0005764266534242779,0.02121126209385693,0.017981142038479447,0.0005789235583506525,0.021196756744757295,0.016183691564947367,0.0005835181946167722,0.021182379219681025,0.01628721342422068,0.0005888787854928523,0.021168049424886703,0.01674481458030641,0.0012269250582903624,743.0
9,detached_warmup,0.27464426308870316,0.6122727990150452,2e-05,1e-06,0.0,0.0006367156747728586,0.03834659210406244,0.016144264256581664,0.0006392603245330974,0.03833474335260689,0.05071393307298422,0.0006441687946789898,0.03832332813180983,0.01918813120573759,0.0006499128867289983,0.038312308955937624,0.03271089983172715,0.001375741558149457,491.0
10,detached_warmup,0.21284697577357292,0.8392049074172974,2e-05,1e-06,0.0,0.0005809355789097026,0.028721320442855358,0.02236608834937215,0.0005845296109328046,0.028693789150565863,0.021624370710924268,0.0005906628211960196,0.028666734928265214,0.02616237662732601,0.0005975759195280261,0.02864101342856884,0.025617582956328988,0.0016604748088866472,452.0
11,detached_warmup,0.1806042343378067,0.6489962339401245,2e-05,1e-06,0.0,0.0005473422570503317,0.026039597112685442,0.02109073055908084,0.0005539564735954627,0.026028903666883707,0.015903018647804856,0.0005638599395751953,0.02601882116869092,0.017718142364174128,0.0005732610879931599,0.026009418535977602,0.019557188265025616,0.0018880051793530583,496.0
12,detached_warmup,0.1217786855995655,0.8524073958396912,2e-05,1e-06,0.0,0.0004948256610077806,0.014811300439760089,0.01728486898355186,0.0005004190461477265,0.014825668651610613,0.014844174263998866,0.0005094741063658148,0.014841059921309352,0.01466465089470148,0.0005188640279811807,0.014857233967632055,0.013626147760078311,0.0018211975693702698,458.0
13,detached_warmup,0.1126420721411705,0.5192588567733765,2e-05,1e-06,0.0,0.0004666670720325783,0.01358672697097063,0.014168166788294911,0.0004738522256957367,0.013575473800301552,0.01422148838173598,0.0004843910865020007,0.013565814588218927,0.01393596874549985,0.000494257161335554,0.01355710718780756,0.01411215600091964,0.0019884968642145395,692.0
14,detached_warmup,0.18272405490279198,0.49564531445503235,2e-05,1e-06,0.0,0.0005621085438178852,0.026042398530989885,0.018525346415117383,0.0005665231437887996,0.02604098431766033,0.020383699098601937,0.0005738659965572879,0.026040218770503998,0.01829830463975668,0.0005818576028104872,0.026039953343570232,0.019068792462348938,0.002284951973706484,582.0
15,detached_warmup,0.15473103895783424,0.6032114028930664,2e-05,1e-06,0.0,0.0006297462532529607,0.019093777053058147,0.018972628749907017,0.0006358122336678207,0.01906587416306138,0.017333814641460776,0.0006440838187700137,0.019039816921576858,0.019615610595792532,0.0006513411644846201,0.01901370962150395,0.020034824032336473,0.001906753983348608,502.0
16,detached_warmup,0.18363896571099758,0.5080364346504211,2e-05,1e-06,0.0,0.0005824017353006639,0.02580959489569068,0.019335758639499545,0.0005871386747458018,0.025799157563596964,0.01903950166888535,0.0005940396222285926,0.025789762381464243,0.01856847759336233,0.0006005987816024572,0.025781314354389906,0.021151218097656965,0.0018639371264725924,735.0
17,detached_warmup,0.18578923027962446,0.4852137565612793,2e-05,1e-06,0.0,0.0005443338013719767,0.025458850199356675,0.0199102625483647,0.0005489322793437168,0.025458926451392472,0.021559515851549804,0.0005547930486500263,0.02545988594647497,0.019572851713746786,0.0005606572231044993,0.025461524608545005,0.020698702428489923,0.002616412006318569,579.0
18,detached_warmup,0.1319706980139017,0.7321434020996094,2e-05,1e-06,0.0,0.0004698695338447578,0.016295250854454935,0.015189133817330003,0.00047496693150606006,0.016307039302773774,0.017689946340397,0.0004819536843569949,0.016319420421496034,0.015392003115266562,0.0004886979586444795,0.016332118306308985,0.016530300956219435,0.0015862376894801855,487.0
19,detached_warmup,0.2936180755496025,0.525053083896637,2e-05,1e-06,0.0,0.0007700741989538074,0.03914047311991453,0.034584721084684134,0.0007726676558377221,0.03913385886698961,0.032305144937708974,0.0007763587636873126,0.03912526508793235,0.036699895514175296,0.0007801895699230954,0.039118497632443905,0.030410919804126024,0.002674688119441271,876.0
20,detached_warmup,0.18386667594313622,0.8007658123970032,2e-05,1e-06,0.0,0.0005497096863109618,0.022911465261131525,0.023617493454366922,0.0005522862629732117,0.0229262700304389,0.02328938338905573,0.0005563556333072484,0.02294136956334114,0.019335979130119085,0.0005603743047686294,0.022956865839660168,0.023669119458645582,0.0014008075231686234,690.0
21,detached_warmup,0.24687153846025467,0.6686118245124817,2e-05,1e-06,0.0,0.0007168595475377515,0.03023186232894659,0.03164661582559347,0.0007187185838120058,0.030244510155171156,0.029897904954850674,0.0007214138749986887,0.03025716543197632,0.030227832961827517,0.0007239731785375625,0.03026991244405508,0.031214771792292595,0.001605707686394453,809.0
22,detached_warmup,0.25111153721809387,0.4061417579650879,2e-05,1e-06,0.0,0.00059758078714367,0.033808240201324224,0.017817086074501276,0.0005988493212498724,0.03381106210872531,0.03931297338567674,0.0006008612544974312,0.03381407121196389,0.018301132367923856,0.0006029078795108944,0.03381879348307848,0.038027978502213955,0.0014575900277122855,577.0
23,detached_warmup,0.16309882886707783,0.3145637512207031,2e-05,1e-06,0.0,0.00047423816431546584,0.023221327690407634,0.016786077758297324,0.00047575015196343884,0.023221269249916077,0.019771703518927097,0.000478097383165732,0.02322143130004406,0.015209190780296922,0.00048038367822300643,0.023221580777317286,0.016537785530090332,0.0011739116162061691,583.0
24,detached_warmup,0.22883327677845955,0.39097708463668823,2e-05,1e-06,0.0,0.0007031646673567593,0.025967292487621307,0.033337671775370836,0.0007042062061373144,0.025969934184104204,0.018782774917781353,0.0007056826871121302,0.02597567019984126,0.03533008461818099,0.000707184401107952,0.02597602130845189,0.03467358602210879,0.0010089537827298045,593.0
25,detached_warmup,0.18954523280262947,0.4415617883205414,2e-05,1e-06,0.0,0.0005323002769728191,0.025253034196794033,0.028529309667646885,0.0005334251545718871,0.02525417716242373,0.014297252520918846,0.000535098384716548,0.025253779254853725,0.014835691545158625,0.0005366951299947686,0.025254331063479185,0.02873013960197568,0.0008374907192774117,593.0
26,detached_warmup,0.17826646007597446,0.4309876263141632,2e-05,1e-06,0.0,0.0006279712251853198,0.01957174693234265,0.02474105218425393,0.0006288766890065745,0.019572863820940256,0.025340428110212088,0.0006302659603534266,0.01957403519190848,0.023377557517960668,0.0006316474464256316,0.01957523822784424,0.023994778282940388,0.0008145429892465472,500.0
27,detached_warmup,0.276078749448061,0.4101918935775757,2e-05,1e-06,0.0,0.0007043205550871789,0.035000527277588844,0.025037975516170263,0.0007051381981000304,0.035000404343008995,0.024938947521150112,0.0007062350050546229,0.03500033728778362,0.041649322025477886,0.0007072682055877522,0.035000129137188196,0.04162815073505044,0.0010093569289892912,721.0
28,detached_warmup,0.16953398287296295,0.2924407124519348,2e-05,1e-06,0.0,0.0005513835276360624,0.02297577727586031,0.019469677470624447,0.0005524315201910213,0.022975123953074217,0.01858996832743287,0.0005539487756323069,0.02297439007088542,0.017897840589284897,0.0005553894443437457,0.02297378284856677,0.01946427160874009,0.0009157932945527136,721.0
29,detached_warmup,0.15764548256993294,0.504755973815918,2e-05,1e-06,0.0,0.0005414415427367203,0.02255775360390544,0.015927638160064816,0.0005423521943157539,0.022555862553417683,0.017266867915168405,0.0005434994018287398,0.02255402156151831,0.015888436464592814,0.0005445906790555455,0.022552150301635265,0.01617086911574006,0.0010737041011452675,474.0
